strategy,symbol,n_trades,total_pnl_usdt,win_rate_pct,sharpe,sortino,calmar,max_drawdown_pct,profit_factor,group
B_OFI Momentum,ETH_USDT,2636,206.4,42.7,0.069,0.02,0.013,-17.72,1.01,B_New
B_Futures Short RF Model,TRX_USDT,2,23.29,50.0,0.066,0.0,0.037,-0.79,1.29,B_New
A_Ensemble A (RSI+MACD+BB),NEAR_USDT,2920,71.38,37.3,0.056,0.027,0.009,-14.62,1.0,A_Original
B_Keltner Channel Breakout,XRP_USDT,989,101.61,42.4,0.054,0.013,0.005,-26.54,1.0,B_New
A_MACD Momentum,TRX_USDT,3310,80.3,33.2,0.048,0.026,0.007,-13.55,1.0,A_Original
B_Keltner Channel Breakout,APT_USDT,439,-0.66,41.9,0.039,0.011,-0.0,-16.69,1.0,B_New
B_MTF SMA-200 Filter,APT_USDT,1357,-46.03,25.2,0.036,0.017,-0.006,-21.8,1.0,B_New
B_Futures Short RF Model,ICP_USDT,76,29.52,47.4,0.035,0.003,0.01,-5.96,1.01,B_New
B_Volatility Breakout (TTM Squeeze),SOL_USDT,339,15.28,43.4,0.032,0.004,0.002,-11.14,1.0,B_New
B_Volatility Breakout (TTM Squeeze),XRP_USDT,480,-24.29,42.1,0.021,0.002,-0.001,-21.91,1.0,B_New
B_Ichimoku Cloud,HBAR_USDT,1330,-408.17,38.3,0.021,0.009,-0.017,-37.67,0.99,B_New
A_RSI Mean Reversion,BNB_USDT,130,13.45,47.7,0.018,0.001,0.002,-7.71,1.0,A_Original
B_Volatility Breakout (TTM Squeeze),UNI_USDT,361,-28.01,46.3,0.018,0.002,-0.004,-13.94,1.0,B_New
B_Ichimoku Cloud,ICP_USDT,1002,-148.18,39.4,0.017,0.006,-0.02,-14.75,0.99,B_New
B_VWAP Reversion,SOL_USDT,2404,-95.1,67.4,0.016,0.003,-0.014,-11.58,1.0,B_New
B_Donchian Breakout,XRP_USDT,438,-75.74,43.6,0.012,0.002,-0.009,-10.15,0.99,B_New
B_Donchian Breakout,TRX_USDT,776,-85.55,42.1,0.009,0.002,-0.008,-12.96,0.99,B_New
A_Bollinger Band Reversion,BNB_USDT,1162,-67.2,65.0,0.009,0.001,-0.005,-15.25,1.0,A_Original
A_MACD Momentum,NEAR_USDT,2417,-206.2,33.8,0.002,0.001,-0.019,-19.81,0.99,A_Original
B_Volatility Breakout (TTM Squeeze),ADA_USDT,451,-74.36,47.0,0.002,0.0,-0.005,-18.95,0.99,B_New
B_Ensemble B (VWAP+Don+Kelt+Fund+OFI),DOGE_USDT,3676,-255.77,55.6,0.001,0.0,-0.023,-16.35,0.99,B_New
